City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
318,hadibu,12.65,54.0333,86.63,72,21,2.95,YE,1716659189
319,bardai,11.65,7.2333,83.95,52,86,12.24,NG,1716659190
320,leua,48.2156,18.6071,65.84,73,99,7.81,SK,1716659191
321,lochbuie,40.0072,-104.7161,74.52,35,75,6.91,US,1716659191
322,iwon-up,40.3231,128.6553,55.78,80,100,4.41,KP,1716659192
323,hassi messaoud,31.6804,6.0729,96.66,15,0,10.36,DZ,1716659192
324,bamboo flat,11.7,92.7167,84.29,84,100,12.66,IN,1716659193
325,brokopondo,4.75,-55.1667,81.39,74,99,2.77,SR,1716659193
326,buala,-8.145,159.5921,80.96,85,62,5.79,SB,1716659195
327,zouerate,22.7187,-12.4521,89.04,13,93,12.82,MR,1716659195
328,kaliua,-5.0606,31.7936,74.61,49,93,4.36,TZ,1716659196
329,dunedin,-45.8742,170.5036,42.8,80,84,15.99,NZ,1716659179
330,duluth,46.7833,-92.1066,67.35,47,0,26.46,US,1716659087
331,simanggang,1.2472,111.4528,76.98,94,100,0.0,MY,1716659198
332,dalandzadgad,43.5708,104.425,55.94,28,9,2.51,MN,1716659198
333,kununurra,-15.7667,128.7333,67.98,83,0,2.3,AU,1716659199
334,amga,60.8953,131.9608,38.89,86,41,2.39,RU,1716659200
335,cozumel,20.5083,-86.9458,91.47,64,40,18.41,MX,1716658903
336,kalmunai,7.4167,81.8167,80.87,81,99,11.79,LK,1716659201
337,puerto deseado,-47.7503,-65.8938,42.58,71,99,7.63,AR,1716659201
338,mount washington,38.0501,-85.5458,81.93,74,36,7.78,US,1716659202
339,murun-kuren,49.6342,100.1625,56.07,40,98,4.21,MN,1716659203
340,severo-yeniseyskiy,60.3725,93.0408,31.57,75,11,1.99,RU,1716659203
341,sarangani,5.4033,125.4636,82.94,81,100,7.02,PH,1716659204
342,creswell,43.9179,-123.0245,60.35,64,80,4.18,US,1716659204
343,hammerfest,70.6634,23.6821,39.65,93,100,16.11,NO,1716659205
344,coquimbo,-29.9533,-71.3436,55.98,85,100,4.61,CL,1716659206
345,vidyayevo,69.3191,32.8049,38.73,67,100,16.82,RU,1716659206
346,tamanrasset,22.785,5.5228,98.51,6,0,5.75,DZ,1716659207
347,tomatlan,19.9333,-105.25,92.82,37,0,10.65,MX,1716659207
348,es castell,39.8795,4.2854,72.28,56,0,6.91,ES,1716659208
349,winmalee,-33.6799,150.6083,49.91,94,100,0.0,AU,1716659209
350,kertih,4.5141,103.4483,80.62,94,100,0.0,MY,1716659210
351,hengchun,22.0042,120.7439,83.21,81,92,12.37,TW,1716659210
352,colares,38.7992,-9.4469,74.39,70,20,10.36,PT,1716659211
353,buka,40.8108,69.1986,69.44,37,87,13.18,UZ,1716659152
354,manaus,-3.1019,-60.025,79.29,83,75,4.61,BR,1716659079
355,brisas de zicatela,15.8369,-97.0419,88.32,70,40,5.75,MX,1716659213
356,katangi,23.45,79.7833,97.05,23,39,7.29,IN,1716659213
357,doberlug-kirchhain,51.6167,13.5667,66.0,82,70,2.28,DE,1716659214
358,hobyo,5.3505,48.5268,83.35,77,75,27.13,SO,1716659215
359,luderitz,-26.6481,15.1594,61.83,67,1,13.51,NA,1716659215
360,matoury,4.8483,-52.3317,76.96,94,100,4.61,GF,1716659216
